sensor_index,date_created,last_seen,name,uptime,latitude,longitude
118665,1628287778,1663947893,Firehouse1,847,40.72157,-74.19259
118669,1628287786,1656452355,NGT Monitor 6,1,40.70612,-74.20901
118671,1628287793,1656430082,NGT Monitor 3,7,40.707005,-74.21966
118697,1628287894,1663947887,Firehouse2,749,40.721546,-74.19341
118701,1628287900,1656432994,NGT Monitor 4,4,40.706123,-74.2213
118711,1628287970,1656428770,NGT Monitor 2,1,40.707752,-74.220856
118717,1628288676,1656452117,NGT Monitor 13,1,40.708534,-74.20626
119801,1628720381,1656452510,NGT Monitor 10,1,40.734028,-74.20831
120223,1628885104,1656433536,NGT Monitor 5,1,40.70745,-74.214836
120319,1628890070,1684174716,Heart of Camden,27,39.92104,-75.11967
120339,1628890497,1768540454,Cooper Plaza,16243,39.940563,-75.11838
120899,1629225445,1656454578,NGT Monitor 12,3,40.742935,-74.18052
121261,1629309004,1656450812,NGT Monitor 11,4,40.733772,-74.2079
125083,1630533839,1768540478,South Mountain,14630,40.719955,-74.297295
128527,1631919540,1644283744,"Pennington, NJ",60,40.269527,-74.81342
129979,1632436057,1691170424,NJ5461,2,40.222378,-74.762535
130077,1632515223,1695138366,NJF180,60527,40.214325,-74.759865
130151,1632518112,1712331319,NJF675,15,40.2708,-74.7803
131195,1633034592,1701886328,NJ48D9,2,40.2219,-74.76362
131197,1633034597,1683225947,NJ2348,146,40.218304,-74.760216
131281,1633106582,1698707468,NJ1F53,570,40.232094,-74.77151
131343,1633111514,1711196916,NJ41E0,20,40.222046,-74.76284
131429,1633384343,1768540404,Hawthorne Deli,12087,40.720783,-74.21691
131441,1633384642,1738087810,test sensor 1,90,40.22,-74.760895
131447,1633384659,1697213698,NJ54CC,12569,40.72151,-74.19329
131449,1633384752,1700671167,NJ43A4,2658,40.23233,-74.74416
131455,1633384873,1668111439,NJ4E24,22996,40.23745,-74.74114
131457,1633384880,1740156643,DEPtest1,32,40.24092,-74.740585
131483,1633458540,1737398023,Test Sensor North NJ 1,4308,40.764168,-74.02992
133431,1634592849,1768540365,Stewart Lake Woodbury,11952,39.834873,-75.13968
138080,1637184319,1690308293,Lambertville,41659,40.40303,-74.90479
145054,1646954706,1656544277,Rider Station,442,40.283077,-74.74266
145142,1647295573,1711140360,Rider U-06,2907,40.283085,-74.742615
145144,1647295587,1743259019,Rider U-03,826,40.28307,-74.7426
145154,1647295665,1686489321,Rider U-08,9,40.283104,-74.74263
145156,1647295683,1679332630,Rider U-02,8702,40.28308,-74.74261
145348,1647544596,1656513833,Rider U-09,98,40.283085,-74.74262
145984,1648579143,1713614876,Rider U-05,4,40.28308,-74.74262
146058,1648590058,1719742184,Rider U-04,42,40.283077,-74.742584
146208,1648676322,1752534739,Rider U-01,1588,40.283077,-74.74262
146290,1648677528,1656544269,Rider Staton,459,40.283092,-74.74263
146650,1649443187,1768540428,Zion,818,40.439114,-74.741745
147552,1652816186,1768540428,BAZ_Systems,49690,39.896004,-74.91214
148289,1654124060,1768540383,Jaeger industries,65480,40.984203,-74.03071
148295,1654124077,1757049729,778 Carver,2074,40.984726,-74.01201
150638,1655924148,1663851155,GWE 8,14372,40.721165,-74.19258
151394,1656433122,1663851090,GWE 6,14379,40.721138,-74.192795
151738,1656522910,1668015783,GWE-EDC-1,1,40.65011,-74.18333
151740,1656523001,1656535671,GWE 5,159,40.72108,-74.192604
151818,1656539030,1657030606,GWE 2,5436,40.720966,-74.19269
151826,1656544319,1768540415,Rider U-10,21106,40.277557,-74.73288
151830,1656544333,1768540473,Rider U-07,29518,40.279156,-74.73574
151854,1656545065,1669331567,Neptune City,9132,40.19622,-74.02967
152170,1656633853,1689672898,Monmouth Beach,2695,40.3404,-73.98503
152194,1656700736,1657046663,GWE 10,1,40.721237,-74.19287
152196,1656700749,1768540469,GWE-MG1,2248,40.64598,-74.190155
152198,1656700760,1689693693,GWE 9,19890,40.72124,-74.19266
152200,1656700844,1675875815,GWE 1,5,40.721123,-74.19338
152202,1656700860,1690763820,GWE-2ndST-1,3,40.653633,-74.183334
152236,1656701889,1663849709,GWE 11,12737,40.721264,-74.19263
152242,1656701999,1663851091,GWE 4,10558,40.721115,-74.19324
154317,1657667762,1666871239,Ewing,2318,40.281,-74.847
155291,1658176791,1752116140,BPW,13059,39.393784,-74.39145
155327,1658177935,1751313310,NJ State Museum Stinger,20277,40.22101,-74.77336
155809,1658268899,1768540388,Campus Town,58955,40.268673,-74.78257
157253,1658964192,1768540426,Allendale-LNJALLEN3,60305,41.043392,-74.132904
160323,1661206845,1726254025,Hector,15410,40.86112,-74.48296
161511,1662575897,1662662255,PURPLEAIR PA - I AIR QUALITY SENSOR Sensu/ Registralion DEVICE - ID 40:F5:20:1E:57:FC,149,40.984768,-74.011986
169613,1667854216,1768540478,NJ,1716,40.595078,-74.42432
172655,1670011582,1768540400,ChurchillWay,2826,39.722267,-75.24288
176747,1678822980,1768540428,Stone Harbor,442,39.05767,-74.75969
177177,1679419298,1768540384,Nori's Farm,1912,40.414127,-74.59876
177289,1679519970,1768540399,Iris Cir,3340,40.95056,-74.13489
177975,1680199231,1717608565,Metzger Garage Lot 7,1440,40.267124,-74.779594
177977,1680199243,1748996089,Tcnj facility,21005,40.269966,-74.77331
177985,1680199591,1690059638,Isles Climate Corp,109,40.225124,-74.76593
178251,1680555799,1768540390,Old Mill Road,8461,40.15389,-74.050705
178259,1680555929,1768540412,Grove / S. Van Dien,36350,40.967484,-74.10654
178559,1680726793,1768540404,"Reading Fleming Intermediate School, 50 Court Street, Flemington, NJ 08822",7102,40.51051,-74.86359
181723,1684774070,1768540471,Phalanx 2,12479,40.317787,-74.1384
181761,1684782205,1768540432,Mountain Ave,12341,40.710083,-74.35658
181877,1684787995,1688340113,Closter NJ,1,40.97912,-73.977005
182063,1684957433,1745243716,Ovoda,6594,40.534794,-74.43674
182077,1684957660,1768540365,South Lake Drive,27,40.910984,-74.04196
182213,1685140819,1756255249,Woodland,252,39.89894,-75.04521
182277,1685466441,1768540436,Princeton Central,1742,40.35344,-74.65051
182311,1685475744,1768540412,Manasquan,1526,40.116726,-74.0705
182361,1685481543,1768540420,Millbrook Road,686,40.9383,-74.0408
182793,1685656264,1689930629,Ironbound Farm,3,40.625122,-75.048004
182967,1685981808,1768540456,Town Hall Weather,712,40.555172,-74.27407
183055,1685993071,1761920446,Millington,574,40.67911,-74.51056
183109,1686003259,1768540471,Small Home Exterior,2230,40.80729,-74.20113
183183,1686061220,1768540369,Robbinsville,73,40.20594,-74.61353
183531,1686168575,1768345276,South Bound Brook,3388,40.55182,-74.53231
183543,1686168597,1768540403,Brookfield,93,39.883522,-75.01567
183563,1686168732,1768540365,East_Millstone,2194,40.497444,-74.58344
183577,1686168970,1768540449,Montague Valley,15786,41.332745,-74.700264
183833,1686337043,1768540408,JMDS-co.,592,40.81496,-74.20398
183935,1686583817,1768540387,"Crestview, Seaville, Upper Twp",1099,39.21962,-74.6911
184007,1686595322,1768540399,Laureldale,4922,39.520634,-74.68243
184073,1686682654,1690863380,Old Short Hills Rd,8987,40.75997,-74.300644
184627,1687179465,1768540355,"Plainsboro, Cranbury Brook",1898,40.32802,-74.57914
184969,1687298726,1690499645,SJA,3198,41.00288,-74.04351
185231,1687462108,1759507830,Public works,1690,40.481716,-74.48789
185259,1687464605,1768540429,Tim,169,40.342625,-74.06285
185311,1687467352,1736781088,Conerly Road School,23419,40.504692,-74.4942
185335,1687532965,1768540467,Hillcrest School / Franklin Middle School-Hamilton Street Campus,3076,40.49273,-74.48312
185337,1687532967,1751042046,TEECS,103,40.527706,-74.52225
185339,1687533375,1768540470,Claremont Elementary School,2240,40.44476,-74.55271
185341,1687533376,1768540453,Elizabeth Avenue School,122,40.541935,-74.53391
185343,1687533384,1718812677,CW_Pool Gazebo,37,40.523643,-74.56679
185345,1687533387,1768539172,MacAfee Road School,3,40.494175,-74.4989
185351,1687533392,1768540381,CJCP_Somerset_101_Mettlers,23689,40.513927,-74.566025
185353,1687533395,1768540370,Pine Grove Manor School,21,40.497887,-74.472626
185357,1687533397,1752531014,Franklin Middle School-SGS Campus,381,40.49596,-74.519714
185367,1687533506,1692202280,Board of Education Campus,11,40.454197,-74.52058
185369,1687533508,1720102842,Franklin Park School,18274,40.444553,-74.543365
185375,1687533626,1768540293,Rutgers Preparatory School,580,40.52682,-74.494774
185577,1687792167,1768540361,Franklin High School,1292,40.519592,-74.55149
185579,1687792168,1768540392,Franklin Township-Canal Walk,412,40.528145,-74.564705
185583,1687792172,1768540372,Somerset_Run,452,40.52519,-74.53591
186047,1687985904,1717710885,Gritty,4458,39.592243,-74.21874
186091,1687986627,1768540377,Englewood,196,40.9008,-73.966644
186139,1687986869,1765041418,MtKemble,16462,40.802715,-74.46528
186165,1687989110,1754360442,Porch Prospect Ave Princeton NJ,524,40.35088,-74.645325
186317,1688080905,1768540420,JSWC - Point Pleasant Beach,52150,40.08809,-74.052284
186397,1688148740,1748917634,Liberty Corner,297,40.659313,-74.573654
186421,1688150093,1695133237,Margate City,38,39.32506,-74.5028
186493,1688393356,1765999720,Closter Buzzoni Farm Park,153,40.982338,-73.94665
187353,1689016052,1768540437,Tewksbury,1224,40.728493,-74.75357
188623,1689710226,1768540427,Mountain Creek Resort Base - Cobblestone,1005,41.191998,-74.505295
189077,1689963512,1768540462,BD_49,4028,40.328976,-74.33443
189331,1689982169,1691606957,UNL_CEE,20,40.349777,-74.65139
189439,1690224113,1700635280,Brightwood Park,53632,40.663185,-74.373085
190153,1690494412,1768540448,1028 Prospect St,3,40.661182,-74.367035
190159,1690499749,1766596867,145 Prospect,30392,40.987656,-74.030876
193187,1692821426,1768540433,Cherry Hill,25,39.886745,-74.94767
195437,1694644189,1764365695,"Bordentown City, NJ",49950,40.14379,-74.71091
198241,1696866524,1768540390,Engine 19,12049,40.70285,-74.19466
198267,1696866534,1768538390,Clinton Township Middle School,35,40.64282,-74.895836
198271,1696866540,1740154856,DEPtest,11,40.220886,-74.75693
198283,1696866746,1740156559,NJ4ECC,45,40.22261,-74.76237
198287,1696866749,1768540434,RVS,516,40.653755,-74.82854
